"s"	"p"	"o"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longvarchar-lang-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-nvarchar-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-nvarchar-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-nvarchar-dt-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-nvarchar-dt-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-nvarchar-lang-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-nvarchar-lang-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longnvarchar-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longnvarchar-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longnvarchar-dt-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longnvarchar-dt-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longnvarchar-lang-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
